id,popularity
01XCYLnl1ymYKvrtRBHHAk,0
01XFgRZfZI7oBagNf1Loml,58
01YL5I39TTNVtSa52LXIHq,18
01YLcHPbNfQpWqEA1QgjAl,0
01ZVZ0I5Fa3iME3eHDpfRR,0
01ZepwW5W3Z4fwl4bzaHyY,60
01a0J96fRD91VnjQQUCqMK,0
01aRNLqvLGM2XlLgYNTgRN,8
01aquzGS1kNFHdnnonHWbs,26
01bKERy3P2WSAmFw2RZBdd,0
01bnqaE6nQogjdMMrrL1dj,55
01d1xDpVNB2xQKlEA2ZTps,37
01dPxcBaWnKbIRbgdVESs9,37
01e8dGbulrphX8j3fZDQYk,60
01eDuNCOaqDXpWltABQq2f,0
01eOVUef54P2TtJptheZ7y,0
01r7FRKeT6lG95zNvnqULE,12
01rYWOpu72uFQORnWN84C3,43
01rncBE14dXe3cOLq4okJa,0
01trB8VH0xh8PSDVne6tNs,10
01trlXaxntgMSoAulbezyn,0
01tto4a5t1ZGlW1hdHIhZ8,44
01u6AEzGbGbQyYVdxajxqk,58
01uqI4H13Gsd8Lyl1EYd8H,64
01v7kv0RTVaX4Vs8GcOGOP,46
01vGlen8zIZBIUnuCwQwtY,26
01vHGJRvJ6EZW9KO8NtZpi,66
01vU43Qzl66E9gclA7huJ0,38
01vaV4KPvrRmv1YYnHRGHU,2
01vp9hOlOqhZnr3OSvztIW,29
01wKeKPgYxdPYA8rfMveYc,52
01wpPOPqQ3XyS6hBN00HfK,59
01wxK1HFng7L2CbhDuP2Ov,3
01wyDuqAXMTRg8ObtWdQle,27
01xAq8HMYTNqmsbH0ZvPMl,0
01y5iYLkUGP0MoIsmMhjow,10
01yblO2BTB0PShDWXlpTd6,25
01ycChBaynB27CSzlbbbvJ,32
01z3wyn02forxUQHEDAa0R,55
01zPnSlKCw9WLbY0kvNep0,47
01ze6Pi7LSMEUnC6qCrelx,0
020EKPHI4H4Mk9z8ingojU,15
020b0QxseQbcMTPKV49qRm,38
020ffiIfWvx5EH9VJ8Dkg2,0
